CountryName,Total Case,New Case,Total Deaths,new Deaths,Total Recovered,Active Cases,Critical Cases,Total Case / 1M Pop,Deaths / 1M Pop,Total Tests,Total Tests / 1M Pop,Population
Suriname,"9,302",,182 ,,"8,669",,451,10,"15,747",308,"46,103","78,047"
Martinique,"9,028",,57 ,,98,,"8,873",5,"24,072",152,"133,358","355,585"
Papua New Guinea,"8,602",+160,69  ,+1,846,,"7,687",,948,8,"70,260","7,740"
Trinidad and Tobago,"8,404",,146 ,,"7,740",,518,14,"5,990",104,"115,779","82,522"
Benin,"7,515",,93 ,,"6,452",,970,35,608,8,"548,484","44,347"
Equatorial Guinea,"7,219",,106 ,,"6,799",,314,11,"5,019",74,"115,364","80,203"
Nicaragua,"6,727",,179 ,,"4,225",,"2,323",,"1,006",27,,
Iceland,"6,258",,29 ,,"6,126",,103,,"18,247",85,"558,666","1,628,940"
Gambia,"5,602",,168 ,,"5,145",,289,3,"2,269",68,"59,297","24,017"
CAR,"5,491",,74 ,,"5,056",,361,2,"1,122",15,"40,907","8,357"
Yemen,"5,357",,"1,049 ",,"2,053",,"2,255",23,177,35,"22,934",756
Niger,"5,074",,189 ,,"4,747",,138,1,204,8,"93,497","3,758"
San Marino,"4,956",,85 ,,"4,477",,394,10,"145,820","2,501","55,935","1,645,776"
Chad,"4,636",,167 ,,"4,286",,183,,276,10,"110,863","6,603"
Cambodia,"4,515",+277,30 ,+1,"2,212",+60,"2,273",,267,2,"770,928","45,622"
Seychelles,"4,430",,24 ,,"4,123",,283,,"44,829",243,"21,504","217,608"
Saint Lucia,"4,348",,64 ,,"4,174",,110,3,"23,595",347,"37,578","203,919"
Gibraltar,"4,277",,94 ,,"4,180",,3,,"126,978","2,791","219,563","6,518,511"
Channel Islands,"4,051",,86 ,,"3,956",,9,1,"23,134",491,"399,901","2,283,752"
Sierra Leone,"4,005",,79 ,,"2,831",,"1,095",,494,10,"118,332","14,605"
Comoros,"3,789",,146 ,,"3,577",,66,,"4,287",165,,
Barbados,"3,730",,44 ,,"3,607",,79,,"12,967",153,"146,135","508,032"
Guinea-Bissau,"3,680",,66 ,,"3,069",,545,9,"1,836",33,"60,281","30,082"
Eritrea,"3,447",,10 ,,"3,166",,271,,962,3,"23,693","6,610"
Burundi,"3,154",,6 ,,773,,"2,375",,259,0.5,"90,019","7,401"
Liechtenstein,"2,754",+1,56 ,,"2,625",+19,73,5,"72,070","1,465","32,252","844,006"
Vietnam,"2,693",,35 ,,"2,429",,229,,27,0.4,"2,598,753","26,513"
New Zealand,"2,583",+9,26 ,,"2,457",+17,100,,516,5,"1,944,883","388,813"
Monaco,"2,375",,31 ,,"2,242",,102,6,"60,191",786,"51,953","1,316,666"
Turks and Caicos,"2,357",,17 ,,"2,280",,60,2,"60,246",435,"39,783","1,016,870"
Sao Tome and Principe,"2,266",,35 ,,"2,184",,47,,"10,193",157,"12,597","56,665"
Sint Maarten,"2,185",,27 ,,"2,118",,40,1,"50,517",624,"25,304","585,023"
Liberia,"2,042",,85 ,,"1,899",,58,2,397,17,"79,684","15,474"
St. Vincent Grenadines,"1,792",,10 ,,"1,665",,117,2,"16,113",90,"43,985","395,499"
Bermuda,"1,773",,14 ,,888,,871,28,"28,551",225,"214,340","3,451,585"
Saint Martin,"1,693",,12 ,,"1,399",,282,7,"43,215",306,"26,385","673,499"
Isle of Man,"1,574",,29 ,,"1,445",,100,,"18,435",340,"44,761","524,238"
Caribbean Netherlands,"1,519",,14 ,,"1,396",,109,,"57,512",530,"10,011","379,032"
Antigua and Barbuda,"1,198",,30 ,,938,,230,45,"12,155",304,"16,493","167,343"
Mauritius,"1,192",,12 ,,775,,405,,936,9,"358,675","281,665"
Taiwan,"1,058",+1,11 ,,"1,026",+4,21,,44,0.5,"498,329","20,894"
Timor-Leste,947,,1 ,,443,,503,,708,0.7,"48,364","36,150"
Bhutan,918,,1 ,,875,,42,,"1,180",1,"651,942","837,760"
St. Barth,907,,1 ,,462,,444,,"91,616",101,"26,385","2,665,152"
Faeroe Islands,661,,1 ,,660,,0,,"13,488",20,"246,276","5,025,323"
Cayman Islands,516,,2 ,,487,,27,,"7,780",30,"84,802","1,278,679"
Tanzania,509,,21 ,,183,,305,7,8,0.3,,
Wallis and Futuna,437,+5,5 ,,44,,388,3,"39,423",451,"1,331","120,072"
Brunei ,219,,3 ,,206,,10,,497,7,"116,596","264,553"
British Virgin Islands,178,,1 ,,159,,18,,"5,858",33,"13,223","435,153"
Dominica,165,, ,,159,,6,,"2,288",,"13,500","187,175"
Grenada,155,,1 ,,152,,2,,"1,373",9,"23,989","212,427"
New Caledonia,121,, ,,58,,63,,421,,"29,182","101,457"
Fiji,68,,2 ,,64,,2,,75,2,"40,300","44,704"
Falkland Islands,60,, ,,54,,6,,"16,863",,"7,165","2,013,772"
Laos,51,, ,,47,,4,,7,,"142,596","19,382"
Macao,49,, ,,48,,1,,75,,"4,418","6,733"
